complaint_id,department,district,service_type,complaint_category,complaint_date,resolution_date,resolution_time_days,status,satisfaction_score,priority
C000031,Department of Motor Traffic,Puttalam,Police Report,Protocol Violation,2025-01-31,2025-04-17,76,Resolved,2,Low
C000032,Provincial Council Secretariat,Trincomalee,Marriage Certificate,Long Queue,2024-08-07,,409,Pending,2,High
C000033,Municipal Council,Matara,Pension Claims,Delayed Processing,2023-12-12,2023-12-30,18,Resolved,4,High
C000034,Registrar General Department,Mullaitivu,Medical Certificate,Poor Facility Condition,2025-04-26,2025-09-26,153,Resolved,1,Medium
C000035,Department of Census and Statistics,Matara,Visa Processing,Missing Documents,2024-08-09,2024-10-01,53,Resolved,4,Low
C000036,Registrar General Department,Colombo,Land Registration,Poor Facility Condition,2025-07-12,2025-10-01,81,Resolved,5,High
C000037,Department of Pensions,Matale,Tax Filing,Delayed Processing,2024-01-01,,628,Pending,1,High
C000038,Pradeshiya Sabha,Jaffna,School Admission,Protocol Violation,2024-10-03,2025-01-24,113,Resolved,5,Low
C000039,Department of Immigration,Hambantota,Birth Certificate,Delayed Processing,2025-04-10,2025-09-27,170,Resolved,2,Medium
C000040,Department of Census and Statistics,Galle,Medical Certificate,Incorrect Information,2024-02-27,2024-07-31,155,Resolved,2,Medium
C000041,Department of Health Services,Hambantota,License Renewal,Long Queue,2024-06-04,2024-06-18,14,Resolved,1,Low
C000042,Department of Education,Kurunegala,Police Report,Missing Documents,2024-02-01,2024-04-09,68,Resolved,2,Medium
C000043,Department of Immigration,Kurunegala,License Renewal,System Downtime,2024-01-13,,616,Pending,3,Medium
C000044,Department of Motor Traffic,Mannar,Passport Application,Bribery Demand,2024-02-19,2024-03-01,11,Resolved,3,Medium
C000045,Pradeshiya Sabha,Matale,Passport Application,Rude Staff Behavior,2024-09-17,2024-12-31,105,Resolved,5,High
C000046,Department of Census and Statistics,Mullaitivu,Medical Certificate,Bribery Demand,2024-03-20,2024-03-27,7,Resolved,2,Low
C000047,Department of Education,Matara,Passport Application,Overcharging,2025-09-08,,12,Pending,3,Low
C000048,Department of Census and Statistics,Hambantota,Birth Certificate,Incorrect Information,2024-05-11,2024-10-27,169,Resolved,2,Low
C000049,Department of Motor Traffic,Kandy,Visa Processing,Rude Staff Behavior,2025-02-23,2025-07-11,138,Resolved,3,Medium
C000050,Department of Census and Statistics,Ratnapura,Tax Filing,Missing Documents,2024-06-18,,459,Pending,2,Medium
C000051,Inland Revenue Department,Hambantota,License Renewal,Missing Documents,2025-02-25,,207,Pending,3,Low
C000052,Department of Health Services,Kalutara,Medical Certificate,System Downtime,2025-03-25,2025-09-13,172,Resolved,2,Medium
C000053,Municipal Council,Mullaitivu,Tax Filing,Missing Documents,2025-07-31,2025-10-16,77,Resolved,4,Medium
C000054,Department of Health Services,Badulla,Police Report,Rude Staff Behavior,2025-04-10,,163,Pending,2,Medium
C000055,Inland Revenue Department,Mullaitivu,School Admission,Poor Facility Condition,2024-07-25,2024-07-26,1,Resolved,3,Medium
C000056,Department of Education,Ratnapura,Marriage Certificate,Delayed Processing,2025-01-09,2025-07-01,173,Resolved,2,Low
C000057,Inland Revenue Department,Badulla,Visa Processing,Bribery Demand,2025-07-31,2025-10-25,86,Resolved,1,Medium
C000058,Department of Education,Anuradhapura,Birth Certificate,Overcharging,2024-02-18,,580,Pending,1,Low
C000059,Department of Health Services,Matara,Marriage Certificate,Long Queue,2025-06-26,2025-12-22,179,Resolved,3,High
C000060,Pradeshiya Sabha,Trincomalee,Land Registration,Long Queue,2024-01-08,2024-03-05,57,Resolved,2,Medium
C000061,Provincial Council Secretariat,Anuradhapura,Tax Filing,Overcharging,2024-01-23,2024-05-21,119,Resolved,4,Medium
C000062,Department of Immigration,Ratnapura,Land Registration,Overcharging,2025-02-18,2025-07-09,141,Resolved,3,Low
C000063,Provincial Council Secretariat,Ampara,Medical Certificate,Bribery Demand,2024-05-31,2024-08-10,71,Resolved,4,Low
C000064,Department of Census and Statistics,Kurunegala,Birth Certificate,Rude Staff Behavior,2023-12-09,2024-02-08,61,Resolved,3,Low
C000065,Department of Health Services,Kilinochhi,Business Registration,Overcharging,2024-10-17,2024-12-11,55,Resolved,1,Low
C000066,Divisional Secretariat,Monaragala,License Renewal,Poor Facility Condition,2024-04-19,2024-07-28,100,Resolved,5,Low
C000067,Department of Health Services,Kurunegala,Police Report,Protocol Violation,2023-09-27,2023-12-13,77,Resolved,4,Medium
C000068,Department of Motor Traffic,Vavuniya,Tax Filing,Missing Documents,2024-05-03,2024-07-12,70,Resolved,3,Medium
C000069,Department of Health Services,Puttalam,School Admission,Long Queue,2025-01-11,2025-06-20,160,Resolved,4,Low
C000070,Department of Motor Traffic,Hambantota,Pension Claims,System Downtime,2024-12-02,,292,Pending,2,Low
C000071,Department of Health Services,Hambantota,Birth Certificate,Overcharging,2024-08-20,2024-11-26,98,Resolved,3,Low
C000072,Inland Revenue Department,Polonnaruwa,Birth Certificate,Long Queue,2025-03-26,,178,Pending,4,Medium
C000073,Inland Revenue Department,Matale,Land Registration,Delayed Processing,2024-05-31,2024-06-06,6,Resolved,4,Medium
C000074,Department of Immigration,Anuradhapura,School Admission,Delayed Processing,2024-05-01,2024-07-06,66,Resolved,4,Medium
C000075,Department of Pensions,Puttalam,Medical Certificate,Missing Documents,2024-03-06,2024-04-03,28,Resolved,4,Low
C000076,Municipal Council,Matara,Birth Certificate,Incorrect Information,2024-04-11,,527,Pending,2,High
C000077,Department of Census and Statistics,Kurunegala,Pension Claims,System Downtime,2025-05-27,2025-10-19,145,Resolved,4,Low
C000078,Registrar General Department,Mullaitivu,Tax Filing,Overcharging,2025-07-15,2025-10-31,108,Resolved,5,Medium
C000079,Department of Pensions,Anuradhapura,Business Registration,Overcharging,2024-12-09,2025-04-22,134,Resolved,5,Low
C000080,Registrar General Department,Hambantota,Land Registration,Bribery Demand,2025-05-19,2025-07-21,63,Resolved,5,Medium
C000081,Department of Education,Kilinochhi,Marriage Certificate,Overcharging,2025-04-26,2025-08-02,98,Resolved,3,Low
C000082,Department of Pensions,Kurunegala,License Renewal,Protocol Violation,2024-06-11,2024-11-11,153,Resolved,4,High
C000083,Inland Revenue Department,Monaragala,Land Registration,Overcharging,2023-12-17,2024-03-31,105,Resolved,3,Low
C000084,Pradeshiya Sabha,Matara,Visa Processing,Poor Facility Condition,2023-10-08,,713,Pending,1,Low
C000085,Provincial Council Secretariat,Kilinochhi,Tax Filing,Overcharging,2025-04-09,2025-07-27,109,Resolved,5,Low
C000086,Pradeshiya Sabha,Kurunegala,Police Report,Rude Staff Behavior,2024-06-04,2024-07-24,50,Resolved,3,Low
C000087,Provincial Council Secretariat,Anuradhapura,Visa Processing,Delayed Processing,2025-01-28,2025-06-28,151,Resolved,5,Medium
C000088,Pradeshiya Sabha,Kurunegala,Marriage Certificate,Incorrect Information,2024-07-20,2024-09-04,46,Resolved,3,Low
C000089,Municipal Council,Kegalle,Land Registration,Delayed Processing,2023-11-15,2024-05-12,179,Resolved,5,High
C000090,Department of Immigration,Gampaha,Visa Processing,Overcharging,2025-04-30,2025-08-31,123,Resolved,3,Low
C000091,Municipal Council,Gampaha,Marriage Certificate,Rude Staff Behavior,2023-11-26,2023-12-15,19,Resolved,4,Medium
C000092,Provincial Council Secretariat,Kegalle,Pension Claims,Poor Facility Condition,2024-07-28,,419,Pending,1,Medium
C000093,Department of Education,Jaffna,School Admission,Missing Documents,2025-06-15,2025-10-27,134,Resolved,3,Low
C000094,Registrar General Department,Kegalle,Passport Application,Bribery Demand,2025-06-17,,95,Pending,4,Low
C000095,Department of Immigration,Colombo,Pension Claims,Overcharging,2023-12-13,2024-01-27,45,Resolved,4,Medium
C000096,Department of Pensions,Monaragala,Land Registration,Delayed Processing,2025-01-14,2025-03-15,60,Resolved,3,Medium
C000097,Inland Revenue Department,Mullaitivu,Birth Certificate,Protocol Violation,2024-06-17,2024-11-25,161,Resolved,4,Low
C000098,Department of Immigration,Jaffna,School Admission,Poor Facility Condition,2024-02-20,2024-03-28,37,Resolved,1,High
C000099,Pradeshiya Sabha,Vavuniya,Visa Processing,Protocol Violation,2024-12-13,,281,Pending,2,Medium
C000100,Department of Health Services,Ratnapura,Tax Filing,Poor Facility Condition,2024-12-12,,282,Pending,1,Low
C000101,Divisional Secretariat,Puttalam,License Renewal,Incorrect Information,2023-12-23,2024-06-13,173,Resolved,5,Medium
C000102,Department of Pensions,Nuwara Eliya,School Admission,Missing Documents,2024-03-18,2024-09-01,167,Resolved,3,Medium
C000103,Department of Census and Statistics,Kilinochhi,Medical Certificate,Delayed Processing,2025-02-05,2025-06-06,121,Resolved,3,High
C000104,Department of Health Services,Kegalle,Business Registration,Long Queue,2024-08-23,2024-12-28,127,Resolved,3,Low
C000105,Department of Health Services,Trincomalee,License Renewal,Protocol Violation,2024-08-08,2024-09-07,30,Resolved,5,Low
C000106,Department of Education,Polonnaruwa,Land Registration,Long Queue,2023-11-15,2024-02-16,93,Resolved,4,Low
C000107,Pradeshiya Sabha,Ampara,Birth Certificate,Long Queue,2025-04-05,,168,Pending,1,High
C000108,Department of Motor Traffic,Kurunegala,Pension Claims,Delayed Processing,2025-06-05,2025-07-16,41,Resolved,3,Low
C000109,Department of Immigration,Ampara,Police Report,Incorrect Information,2024-01-15,2024-02-15,31,Resolved,4,Medium
C000110,Inland Revenue Department,Batticaloa,Business Registration,Rude Staff Behavior,2024-06-26,2024-10-28,124,Resolved,5,Low
C000111,Department of Pensions,Kegalle,Pension Claims,System Downtime,2025-05-26,2025-06-30,35,Resolved,5,High
C000112,Department of Pensions,Puttalam,School Admission,Overcharging,2025-02-21,2025-02-22,1,Resolved,3,High
C000113,Provincial Council Secretariat,Vavuniya,Land Registration,System Downtime,2024-12-21,2025-03-20,89,Resolved,3,High
C000114,Department of Health Services,Gampaha,Tax Filing,Overcharging,2025-09-04,2025-12-12,99,Resolved,2,Medium
C000115,Municipal Council,Matale,Land Registration,Long Queue,2024-10-15,2025-04-03,170,Resolved,4,Low
C000116,Department of Education,Kandy,Business Registration,Overcharging,2025-05-17,2025-06-12,26,Resolved,5,Low
C000117,Registrar General Department,Ampara,Visa Processing,System Downtime,2024-02-15,2024-08-01,168,Resolved,5,Medium
C000118,Provincial Council Secretariat,Vavuniya,Tax Filing,Overcharging,2024-11-01,2025-01-25,85,Resolved,5,High
C000119,Department of Pensions,Matara,Police Report,Delayed Processing,2023-10-27,2023-12-27,61,Resolved,4,Low
C000120,Pradeshiya Sabha,Jaffna,License Renewal,Long Queue,2023-12-30,2024-01-25,26,Resolved,3,Low
C000121,Inland Revenue Department,Trincomalee,Pension Claims,Poor Facility Condition,2023-11-17,2024-02-21,96,Resolved,3,Medium
C000122,Department of Health Services,Anuradhapura,Medical Certificate,Bribery Demand,2024-03-23,2024-04-13,21,Resolved,4,Low
C000123,Department of Pensions,Batticaloa,Visa Processing,Long Queue,2025-05-10,,133,Pending,2,High
C000124,Registrar General Department,Batticaloa,Tax Filing,Poor Facility Condition,2025-01-09,2025-07-02,174,Resolved,4,Low
C000125,Inland Revenue Department,Vavuniya,Land Registration,Delayed Processing,2024-11-28,2025-03-25,117,Resolved,5,Low
C000126,Department of Pensions,Colombo,Medical Certificate,Missing Documents,2025-04-28,2025-07-13,76,Resolved,5,Low
C000127,Pradeshiya Sabha,Ampara,Visa Processing,Bribery Demand,2025-04-22,2025-05-05,13,Resolved,5,Medium
C000128,Municipal Council,Kegalle,Police Report,Rude Staff Behavior,2024-09-15,2024-11-03,49,Resolved,4,Medium
C000129,Department of Motor Traffic,Puttalam,Tax Filing,Rude Staff Behavior,2025-06-24,2025-09-12,80,Resolved,4,Low
C000130,Department of Immigration,Kurunegala,Tax Filing,Protocol Violation,2024-07-19,2024-11-03,107,Resolved,2,Medium
C000131,Department of Education,Jaffna,Police Report,System Downtime,2024-06-26,2024-08-31,66,Resolved,5,Medium
C000132,Inland Revenue Department,Badulla,Police Report,Missing Documents,2025-01-12,2025-02-18,37,Resolved,4,High
C000133,Provincial Council Secretariat,Kandy,Land Registration,System Downtime,2025-04-13,2025-07-24,102,Resolved,1,Medium
C000134,Department of Census and Statistics,Kandy,Medical Certificate,Bribery Demand,2025-08-09,2025-11-15,98,Resolved,5,Low
C000135,Divisional Secretariat,Matara,Medical Certificate,Delayed Processing,2025-06-16,2025-11-07,144,Resolved,3,Medium
C000136,Registrar General Department,Matale,License Renewal,Long Queue,2025-01-08,2025-03-27,78,Resolved,4,Low
C000137,Provincial Council Secretariat,Matale,Pension Claims,Overcharging,2025-02-06,,226,Pending,1,Low
C000138,Pradeshiya Sabha,Matale,Pension Claims,Delayed Processing,2025-09-03,2025-12-20,108,Resolved,4,Medium
C000139,Department of Census and Statistics,Galle,Land Registration,Overcharging,2025-06-12,2025-08-23,72,Resolved,1,High
C000140,Provincial Council Secretariat,Polonnaruwa,Tax Filing,Long Queue,2024-09-26,,359,Pending,2,Low
C000141,Inland Revenue Department,Polonnaruwa,Medical Certificate,Poor Facility Condition,2024-04-02,2024-07-28,117,Resolved,1,High
C000142,Divisional Secretariat,Galle,Birth Certificate,Protocol Violation,2023-11-11,2024-01-13,63,Resolved,5,Low
C000143,Department of Immigration,Anuradhapura,License Renewal,Incorrect Information,2024-04-29,2024-06-28,60,Resolved,3,High
C000144,Department of Immigration,Kandy,Medical Certificate,Long Queue,2024-02-16,2024-07-04,139,Resolved,3,Low
C000145,Department of Motor Traffic,Nuwara Eliya,Visa Processing,Long Queue,2024-09-21,2024-11-21,61,Resolved,4,Low
C000146,Department of Census and Statistics,Trincomalee,School Admission,Delayed Processing,2024-11-25,2024-12-12,17,Resolved,3,Low
C000147,Municipal Council,Trincomalee,Visa Processing,Overcharging,2024-05-04,2024-05-16,12,Resolved,4,Medium
C000148,Department of Health Services,Mullaitivu,Medical Certificate,Delayed Processing,2023-10-22,,699,Pending,2,Low
C000149,Divisional Secretariat,Matale,Birth Certificate,Rude Staff Behavior,2024-12-18,,276,Pending,1,Low
C000150,Divisional Secretariat,Trincomalee,Visa Processing,Overcharging,2025-06-30,2025-09-22,84,Resolved,3,Medium
C000151,Municipal Council,Polonnaruwa,Business Registration,Bribery Demand,2024-12-04,,290,Pending,3,Low
C000152,Pradeshiya Sabha,Kandy,Tax Filing,Missing Documents,2024-05-11,2024-09-05,117,Resolved,3,Low
C000153,Department of Education,Kalutara,Birth Certificate,Delayed Processing,2024-06-08,2024-07-18,40,Resolved,4,Low
C000154,Provincial Council Secretariat,Gampaha,School Admission,Protocol Violation,2023-12-28,2024-04-02,96,Resolved,5,Medium
C000155,Municipal Council,Kegalle,Pension Claims,Long Queue,2025-08-07,,44,Pending,1,High
C000156,Inland Revenue Department,Matale,Medical Certificate,Overcharging,2025-05-27,2025-06-23,27,Resolved,4,Low
C000157,Department of Pensions,Puttalam,Passport Application,Missing Documents,2024-01-09,2024-05-31,143,Resolved,3,Medium
C000158,Divisional Secretariat,Badulla,Police Report,Incorrect Information,2025-06-18,2025-11-30,165,Resolved,4,Low
C000159,Department of Census and Statistics,Colombo,Marriage Certificate,Rude Staff Behavior,2024-06-26,2024-09-14,80,Resolved,5,Medium
C000160,Department of Motor Traffic,Kalutara,Police Report,Protocol Violation,2024-11-04,,320,Pending,3,Low
C000161,Pradeshiya Sabha,Kilinochhi,School Admission,Poor Facility Condition,2024-11-23,2025-01-03,41,Resolved,3,Low
C000162,Registrar General Department,Hambantota,Land Registration,Missing Documents,2023-11-13,2024-04-20,159,Resolved,1,Low
C000163,Registrar General Department,Mannar,Pension Claims,Delayed Processing,2024-12-16,2025-02-10,56,Resolved,4,Low
C000164,Department of Motor Traffic,Matara,Pension Claims,Poor Facility Condition,2025-08-15,2025-12-28,135,Resolved,4,Low
C000165,Department of Pensions,Jaffna,Tax Filing,Delayed Processing,2024-04-17,2024-06-11,55,Resolved,4,Low
C000166,Inland Revenue Department,Trincomalee,Business Registration,System Downtime,2024-12-04,2025-03-12,98,Resolved,4,Low
C000167,Department of Census and Statistics,Puttalam,Pension Claims,Poor Facility Condition,2023-11-03,2024-02-29,118,Resolved,5,Low
C000168,Department of Census and Statistics,Nuwara Eliya,School Admission,Overcharging,2025-07-07,2025-08-06,30,Resolved,3,Medium
C000169,Inland Revenue Department,Mullaitivu,School Admission,Missing Documents,2024-09-25,,360,Pending,3,Medium
C000170,Department of Immigration,Kalutara,Business Registration,Delayed Processing,2024-10-30,2025-01-25,87,Resolved,2,Medium
C000171,Municipal Council,Matale,Passport Application,Delayed Processing,2024-04-06,2024-07-05,90,Resolved,3,Low
C000172,Municipal Council,Kalutara,Marriage Certificate,Overcharging,2024-04-10,2024-05-20,40,Resolved,4,Low
C000173,Divisional Secretariat,Polonnaruwa,Medical Certificate,Poor Facility Condition,2025-04-20,2025-08-13,115,Resolved,4,Low
C000174,Department of Education,Polonnaruwa,Visa Processing,Incorrect Information,2025-06-24,2025-10-15,113,Resolved,1,Medium
C000175,Department of Motor Traffic,Gampaha,Tax Filing,Incorrect Information,2024-09-15,2024-12-04,80,Resolved,3,Low
C000176,Divisional Secretariat,Kurunegala,Police Report,Long Queue,2023-12-22,2024-04-30,130,Resolved,3,Low
C000177,Provincial Council Secretariat,Matale,License Renewal,Overcharging,2025-04-28,2025-07-20,83,Resolved,4,Low
C000178,Department of Immigration,Gampaha,Passport Application,Overcharging,2024-09-06,2024-09-28,22,Resolved,4,High
C000179,Department of Pensions,Vavuniya,Pension Claims,System Downtime,2025-03-10,2025-04-20,41,Resolved,3,Medium
C000180,Department of Census and Statistics,Kandy,Business Registration,Missing Documents,2023-11-13,2024-04-27,166,Resolved,3,Low
C000181,Department of Census and Statistics,Kalutara,School Admission,Rude Staff Behavior,2025-07-24,2025-12-26,155,Resolved,5,High
C000182,Department of Immigration,Anuradhapura,Police Report,Delayed Processing,2024-08-03,2025-01-29,179,Resolved,4,Low
C000183,Municipal Council,Monaragala,Police Report,Protocol Violation,2024-10-10,2025-01-03,85,Resolved,5,Low
C000184,Department of Pensions,Nuwara Eliya,Passport Application,System Downtime,2025-08-07,2025-11-08,93,Resolved,1,High
C000185,Department of Pensions,Kandy,Business Registration,Protocol Violation,2025-01-30,2025-03-07,36,Resolved,2,Medium
C000186,Divisional Secretariat,Matale,School Admission,Missing Documents,2025-03-13,,191,Pending,1,Low
C000187,Department of Immigration,Ratnapura,Land Registration,Long Queue,2024-03-24,2024-08-31,160,Resolved,5,Low
C000188,Pradeshiya Sabha,Batticaloa,Passport Application,Protocol Violation,2025-08-13,2025-12-05,114,Resolved,4,Low
C000189,Divisional Secretariat,Batticaloa,Land Registration,Incorrect Information,2025-01-13,2025-03-04,50,Resolved,3,Medium
C000190,Divisional Secretariat,Matale,Visa Processing,Long Queue,2025-02-16,2025-03-30,42,Resolved,5,Medium
C000191,Provincial Council Secretariat,Kandy,Visa Processing,Delayed Processing,2024-10-05,2024-11-01,27,Resolved,4,Medium
C000192,Department of Health Services,Kalutara,Passport Application,Overcharging,2024-06-26,2024-11-05,132,Resolved,2,High
C000193,Inland Revenue Department,Vavuniya,Birth Certificate,System Downtime,2023-10-18,2024-01-28,102,Resolved,4,Low
C000194,Department of Immigration,Matale,License Renewal,Incorrect Information,2024-08-12,2025-01-26,167,Resolved,3,High
C000195,Department of Education,Batticaloa,School Admission,Long Queue,2025-01-16,2025-02-21,36,Resolved,4,High
C000196,Pradeshiya Sabha,Anuradhapura,Business Registration,Missing Documents,2023-10-10,2023-11-18,39,Resolved,4,Low
C000197,Department of Health Services,Polonnaruwa,School Admission,Overcharging,2024-07-12,2024-08-13,32,Resolved,1,Low
C000198,Divisional Secretariat,Matara,Police Report,Rude Staff Behavior,2025-02-13,2025-02-18,5,Resolved,4,Low
C000199,Department of Immigration,Badulla,Medical Certificate,Delayed Processing,2023-09-22,2023-11-23,62,Resolved,4,Medium
C000200,Provincial Council Secretariat,Trincomalee,Business Registration,Long Queue,2024-09-24,,361,Pending,2,Low
C000201,Department of Census and Statistics,Hambantota,Police Report,Long Queue,2025-01-14,,249,Pending,1,Low
C000202,Divisional Secretariat,Ratnapura,Tax Filing,Rude Staff Behavior,2023-11-29,2024-05-16,169,Resolved,4,Low
C000203,Municipal Council,Batticaloa,Police Report,Overcharging,2025-04-02,2025-09-14,165,Resolved,2,Medium
C000204,Department of Education,Gampaha,Visa Processing,Bribery Demand,2024-02-06,,592,Pending,3,Low
C000205,Provincial Council Secretariat,Vavuniya,Business Registration,Overcharging,2024-04-12,2024-07-02,81,Resolved,5,Low
C000206,Department of Motor Traffic,Polonnaruwa,Tax Filing,Incorrect Information,2025-07-14,2025-10-14,92,Resolved,5,Low
C000207,Department of Health Services,Kilinochhi,Marriage Certificate,Overcharging,2024-10-01,2025-01-12,103,Resolved,4,Medium
C000208,Registrar General Department,Ratnapura,Pension Claims,Delayed Processing,2024-10-01,2025-02-11,133,Resolved,3,Low
C000209,Department of Census and Statistics,Badulla,Visa Processing,Incorrect Information,2024-03-23,2024-06-14,83,Resolved,2,Low
C000210,Department of Motor Traffic,Ratnapura,Tax Filing,Poor Facility Condition,2024-11-30,2025-03-24,114,Resolved,3,High
C000211,Municipal Council,Vavuniya,Tax Filing,Protocol Violation,2024-06-28,2024-07-13,15,Resolved,1,Medium
C000212,Divisional Secretariat,Badulla,Land Registration,Long Queue,2025-08-16,2025-08-24,8,Resolved,2,Low
C000213,Divisional Secretariat,Gampaha,School Admission,Rude Staff Behavior,2024-05-19,2024-08-21,94,Resolved,3,Medium
C000214,Provincial Council Secretariat,Mannar,Pension Claims,System Downtime,2024-10-04,2024-10-24,20,Resolved,4,Medium
C000215,Department of Education,Trincomalee,Pension Claims,Protocol Violation,2024-06-02,2024-06-09,7,Resolved,4,Low
C000216,Department of Pensions,Monaragala,Land Registration,Bribery Demand,2024-06-13,2024-08-07,55,Resolved,5,Low
C000217,Municipal Council,Kilinochhi,Medical Certificate,System Downtime,2023-12-05,2024-03-28,114,Resolved,5,Medium
C000218,Pradeshiya Sabha,Monaragala,Police Report,Rude Staff Behavior,2025-04-06,2025-06-22,77,Resolved,5,Medium
C000219,Inland Revenue Department,Ampara,License Renewal,System Downtime,2025-02-22,2025-04-15,52,Resolved,4,Medium
C000220,Registrar General Department,Kalutara,Visa Processing,Missing Documents,2024-10-02,2025-02-21,142,Resolved,2,High
C000221,Registrar General Department,Matale,Tax Filing,Delayed Processing,2025-01-23,2025-05-08,105,Resolved,5,Low
C000222,Provincial Council Secretariat,Polonnaruwa,School Admission,Rude Staff Behavior,2025-08-17,2025-09-19,33,Resolved,5,Medium
C000223,Provincial Council Secretariat,Matale,Visa Processing,Rude Staff Behavior,2024-01-31,2024-02-15,15,Resolved,5,Low
C000224,Registrar General Department,Hambantota,Passport Application,Protocol Violation,2025-09-16,2026-01-27,133,Resolved,5,Low
C000225,Municipal Council,Nuwara Eliya,School Admission,Poor Facility Condition,2025-06-22,2025-11-06,137,Resolved,1,Low
C000226,Divisional Secretariat,Gampaha,License Renewal,Delayed Processing,2025-07-26,2025-12-28,155,Resolved,3,Low
C000227,Divisional Secretariat,Mullaitivu,School Admission,Long Queue,2025-07-08,2025-09-14,68,Resolved,4,Low
C000228,Department of Education,Matara,Medical Certificate,Missing Documents,2025-06-24,2025-12-06,165,Resolved,5,Low
C000229,Department of Education,Batticaloa,Passport Application,System Downtime,2023-12-04,2024-01-14,41,Resolved,3,Medium
C000230,Department of Census and Statistics,Vavuniya,Marriage Certificate,System Downtime,2024-08-06,2024-10-27,82,Resolved,4,Medium
C000231,Department of Education,Matara,Marriage Certificate,Delayed Processing,2024-01-07,2024-05-06,120,Resolved,2,Low
C000232,Department of Immigration,Kilinochhi,School Admission,System Downtime,2024-10-18,2025-02-03,108,Resolved,2,Low
C000233,Department of Pensions,Ampara,License Renewal,Delayed Processing,2024-03-02,2024-07-12,132,Resolved,3,High
C000234,Department of Census and Statistics,Gampaha,License Renewal,Incorrect Information,2025-02-19,2025-04-22,62,Resolved,2,Low
C000235,Registrar General Department,Mullaitivu,Marriage Certificate,Incorrect Information,2025-07-21,2025-10-03,74,Resolved,4,Medium
