post_id,department,district,post_date,sentiment_label,sentiment_score,sample_text,platform
P000176,Department of Motor Traffic,Badulla,2025-08-07,Neutral,-0.245,Experience with Department of Census and Statistics was typical,Facebook
P000177,Pradeshiya Sabha,Vavuniya,2025-05-22,Positive,-0.294,Service at Department of Health Services was fast,Facebook
P000178,Department of Immigration,Matale,2024-10-20,Negative,-0.378,Department of Immigration service is waste of time,Facebook
P000179,Department of Census and Statistics,Kandy,2025-07-07,Negative,0.277,Divisional Secretariat service is slow,Instagram
P000180,Registrar General Department,Kegalle,2024-10-26,Neutral,-0.511,Experience with Department of Immigration was standard,Twitter
P000181,Provincial Council Secretariat,Jaffna,2025-08-20,Neutral,-0.934,Experience with Department of Immigration was okay,Facebook
P000182,Municipal Council,Colombo,2025-01-08,Neutral,-0.211,Experience with Divisional Secretariat was typical,Instagram
P000183,Divisional Secretariat,Anuradhapura,2025-08-31,Negative,-0.045,Provincial Council Secretariat service is terrible,Facebook
P000184,Department of Health Services,Mannar,2025-03-01,Positive,-0.901,Service at Department of Health Services was satisfied,Instagram
P000185,Provincial Council Secretariat,Badulla,2025-03-03,Negative,0.866,Provincial Council Secretariat service is terrible,Twitter
P000186,Inland Revenue Department,Gampaha,2025-01-21,Negative,0.051,Department of Education service is slow,Facebook
P000187,Department of Motor Traffic,Galle,2024-11-27,Positive,0.238,Service at Department of Pensions was fast,Instagram
P000188,Department of Census and Statistics,Ratnapura,2025-08-24,Neutral,0.33,Experience with Department of Immigration was okay,Twitter
P000189,Municipal Council,Nuwara Eliya,2025-09-16,Negative,0.97,Department of Motor Traffic service is waste of time,Facebook
P000190,Department of Education,Anuradhapura,2024-10-20,Negative,0.047,Provincial Council Secretariat service is corrupt,Instagram
P000191,Inland Revenue Department,Nuwara Eliya,2025-08-18,Neutral,-0.076,Experience with Divisional Secretariat was average,Instagram
P000192,Divisional Secretariat,Galle,2025-07-03,Positive,-0.654,Service at Department of Census and Statistics was fast,Instagram
P000193,Department of Pensions,Gampaha,2025-04-05,Negative,-0.776,Municipal Council service is slow,Instagram
P000194,Municipal Council,Jaffna,2024-12-12,Negative,-0.021,Municipal Council service is slow,Facebook
P000195,Provincial Council Secretariat,Vavuniya,2025-01-03,Negative,0.575,Municipal Council service is terrible,Facebook
P000196,Department of Motor Traffic,Ampara,2025-08-24,Negative,0.628,Department of Education service is frustrated,Instagram
P000197,Department of Health Services,Mullaitivu,2025-06-01,Positive,0.974,Service at Department of Pensions was efficient,Instagram
P000198,Municipal Council,Mannar,2024-10-28,Negative,0.297,Department of Census and Statistics service is corrupt,Facebook
P000199,Provincial Council Secretariat,Ampara,2025-05-18,Neutral,-0.278,Experience with Department of Census and Statistics was typical,Twitter
P000200,Divisional Secretariat,Puttalam,2025-09-03,Neutral,-0.892,Experience with Department of Education was standard,Twitter
P000201,Registrar General Department,Matara,2024-11-01,Positive,0.532,Service at Department of Immigration was excellent,Instagram
P000202,Inland Revenue Department,Matara,2025-06-13,Neutral,-0.78,Experience with Department of Motor Traffic was normal,Facebook
P000203,Department of Motor Traffic,Kandy,2025-05-07,Negative,-0.902,Divisional Secretariat service is waste of time,Facebook
P000204,Inland Revenue Department,Galle,2024-10-08,Negative,-0.346,Registrar General Department service is frustrated,Twitter
P000205,Department of Health Services,Gampaha,2025-06-22,Neutral,0.373,Experience with Department of Health Services was average,Twitter
P000206,Department of Immigration,Kegalle,2025-05-01,Positive,-0.227,Service at Department of Health Services was good service,Twitter
P000207,Department of Motor Traffic,Kurunegala,2025-04-23,Negative,0.907,Department of Health Services service is terrible,Twitter
P000208,Pradeshiya Sabha,Batticaloa,2025-08-07,Positive,-0.758,Service at Registrar General Department was efficient,Instagram
P000209,Department of Motor Traffic,Kilinochhi,2025-05-14,Negative,0.525,Department of Education service is unprofessional,Instagram
P000210,Provincial Council Secretariat,Kalutara,2025-09-05,Negative,0.196,Divisional Secretariat service is corrupt,Instagram
P000211,Inland Revenue Department,Polonnaruwa,2025-02-06,Positive,-0.284,Service at Department of Census and Statistics was efficient,Facebook
P000212,Registrar General Department,Ampara,2025-03-15,Neutral,0.6,Experience with Department of Census and Statistics was typical,Twitter
P000213,Municipal Council,Colombo,2025-05-20,Negative,-0.7,Department of Pensions service is terrible,Twitter
P000214,Registrar General Department,Gampaha,2025-01-17,Neutral,-0.206,Experience with Provincial Council Secretariat was standard,Facebook
P000215,Divisional Secretariat,Nuwara Eliya,2025-04-22,Neutral,0.934,Experience with Department of Motor Traffic was average,Facebook
P000216,Registrar General Department,Badulla,2025-04-25,Neutral,-0.398,Experience with Department of Education was standard,Twitter
P000217,Inland Revenue Department,Matale,2025-03-31,Negative,-0.743,Registrar General Department service is waste of time,Facebook
P000218,Pradeshiya Sabha,Badulla,2025-01-10,Neutral,0.537,Experience with Divisional Secretariat was typical,Twitter
P000219,Department of Education,Trincomalee,2024-12-24,Negative,0.249,Registrar General Department service is corrupt,Instagram
P000220,Pradeshiya Sabha,Kurunegala,2025-02-26,Negative,0.724,Pradeshiya Sabha service is terrible,Twitter
P000221,Registrar General Department,Kalutara,2025-07-23,Negative,-0.484,Registrar General Department service is corrupt,Instagram
P000222,Provincial Council Secretariat,Jaffna,2024-09-25,Negative,0.988,Department of Immigration service is corrupt,Facebook
P000223,Municipal Council,Galle,2025-08-12,Neutral,-0.113,Experience with Department of Education was average,Instagram
P000224,Divisional Secretariat,Colombo,2025-08-03,Negative,0.365,Pradeshiya Sabha service is corrupt,Facebook
P000225,Department of Motor Traffic,Kurunegala,2024-10-19,Negative,-0.296,Department of Pensions service is corrupt,Instagram
P000226,Registrar General Department,Polonnaruwa,2025-09-16,Neutral,0.961,Experience with Inland Revenue Department was normal,Twitter
P000227,Department of Motor Traffic,Vavuniya,2025-01-26,Neutral,-0.791,Experience with Department of Health Services was okay,Instagram
P000228,Department of Immigration,Batticaloa,2024-10-10,Neutral,-0.574,Experience with Registrar General Department was okay,Twitter
P000229,Municipal Council,Kalutara,2024-10-31,Neutral,-0.09,Experience with Municipal Council was typical,Twitter
P000230,Department of Health Services,Mannar,2024-11-23,Neutral,0.91,Experience with Department of Census and Statistics was standard,Facebook
P000231,Registrar General Department,Badulla,2024-12-02,Negative,0.549,Department of Motor Traffic service is terrible,Instagram
P000232,Department of Health Services,Ratnapura,2025-07-15,Neutral,-0.885,Experience with Department of Census and Statistics was normal,Facebook
P000233,Registrar General Department,Mullaitivu,2025-08-12,Negative,0.74,Department of Immigration service is corrupt,Twitter
P000234,Municipal Council,Monaragala,2025-04-17,Negative,0.973,Pradeshiya Sabha service is slow,Twitter
P000235,Department of Pensions,Badulla,2025-04-10,Neutral,-0.208,Experience with Department of Pensions was standard,Facebook
P000236,Inland Revenue Department,Gampaha,2025-07-17,Positive,0.288,Service at Provincial Council Secretariat was fast,Facebook
P000237,Provincial Council Secretariat,Hambantota,2025-02-15,Positive,-0.199,Service at Registrar General Department was excellent,Twitter
P000238,Municipal Council,Monaragala,2025-07-31,Negative,-0.324,Divisional Secretariat service is corrupt,Twitter
P000239,Department of Census and Statistics,Matale,2025-03-03,Negative,-0.871,Pradeshiya Sabha service is waste of time,Facebook
P000240,Inland Revenue Department,Kandy,2025-06-15,Negative,0.893,Department of Pensions service is corrupt,Facebook
P000241,Department of Motor Traffic,Kegalle,2025-02-11,Negative,-0.353,Department of Census and Statistics service is terrible,Facebook
P000242,Municipal Council,Kandy,2025-01-19,Positive,0.863,Service at Pradeshiya Sabha was fast,Instagram
P000243,Municipal Council,Kandy,2025-05-19,Negative,0.514,Municipal Council service is waste of time,Twitter
P000244,Department of Motor Traffic,Polonnaruwa,2024-10-04,Neutral,-0.033,Experience with Provincial Council Secretariat was typical,Facebook
P000245,Department of Education,Ratnapura,2025-04-08,Negative,-0.249,Municipal Council service is unprofessional,Twitter
P000246,Department of Pensions,Kandy,2025-09-12,Negative,0.391,Provincial Council Secretariat service is slow,Facebook
P000247,Department of Education,Jaffna,2025-04-27,Negative,0.676,Department of Pensions service is unprofessional,Twitter
P000248,Municipal Council,Polonnaruwa,2025-03-13,Negative,0.713,Pradeshiya Sabha service is slow,Facebook
P000249,Registrar General Department,Badulla,2025-09-02,Negative,-0.147,Divisional Secretariat service is waste of time,Facebook
